Anio,Enero_IMD,Febrero_IMD,Marzo_IMD,Abril_IMD,Mayo_IMD,Junio_IMD,Julio_IMD,Agosto_IMD,Septiembre_IMD,Octubre_IMD,Noviembre_IMD,Diciembre_IMD,Total_IMD,Enero_VPA,Febrero_VPA,Marzo_VPA,Abril_VPA,Mayo_VPA,Junio_VPA,Julio_VPA,Agosto_VPA,Septiembre_VPA,Octubre_VPA,Noviembre_VPA,Diciembre_VPA,Autob�s de pasajeros,Autom�vil,Avi�n,Bicicleta,Embarcaci�n ,Sin transporte,Transporte de carga,Total,GTM_PT,GAB,GBR,GEO,GHA,GIB,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUM,GUY,HIC,HKG,HND,HPC,HRV,HTI,HUN,IBD,IBT,IDA,IDB,IDN,IDX,IMN,IND,INX,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,MNG,MNP,MOZ,MRT,MUS,MWI,MYS,NAC,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NRU,NZL,OED,OMN,OSS,PAK,PAN,PER,PHL,PLW,PNG,POL,PRE,PRI,PRK,PRT,PRY,PSE,PSS,PST,PYF,QAT,ROU,RUS,RWA,SAS,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,SRB,SSA,SSD,SSF,SST,STP,SUR,SVK,SVN,SWE,SWZ,SXM,SYC,SYR,TCA,TCD,TEA,TEC,TGO,THA,TJK,TKM,TLA,TLS,TMN,TON,TSA,TSS,TTO,TUN,TUR,TUV,TZA,UGA,UKR,UMC,URY,USA,UZB,VCT,VEN,VGB,VIR,VNM,VUT,WLD,WSM,XKX,YEM,ZAF,ZMB,ZWE
2011,283.3,304.6,384.1,371.3,415.3,416.4,349.8,409.6,364.8,356.8,343.5,378.5,"4,378.00",15.1,12.9,9.2,8.8,10.5,9.5,6.5,6.8,6.2,6.1,5.9,6.1,,,,,,,,,14521515,18969,277521,-25975,-733,270,-29092,-2363,-1760,17606,-26257,-292,-450,-33204,-1852,-14512,3967135,25348,-5664,-774337,-8241,-29049,889,-1140918,-3946885,-2805967,-1032402,-54051,-1773565,7,-244114,,-26351,-150029,281089,-1427,9605,195257,-12578,7057,139793,-1248,-918,-8820,9340,-3520,-12133,115314,1551053,-8639,1756,-6953,38226,-28224,41782,47281,-347554,-207,-2405,3339540,266486,75390,-890633,5167,-148270,-103875,-364,40693,-12188,-212998,-38794,-2958,-24048,-20435,-26662,-23954,3349598,-2521,82815,-47867,295952,-5358,-1412371,94083,-337194,-43352,72396,-1875,6895,-53440,1043,-326192,28,-882791,194323,-882413,23252,-1641,-1068,-1855,390,65397,-10654,0,378,-256835,821,29255,-265974,-23055,-1980,66775,-30780,-9636,-431889,-309,-931183,-2048,-1412371,-882413,-1410,11481,68855,26,-84433,-173065,13301,-632280,-6982,1322433,-20380,-1665,-54377,562,-1018,-4378,-934,0,-3246,-3033,-21770,65295,13605,-133434
2012,305.1,350.4,402.1,419,451.6,432.7,422.1,441.4,365.8,415.4,368,409.2,"4,782.70",7.7,11.5,8.8,9.9,9.6,8.5,10.2,9.9,8.8,9.6,9.3,9.2,,,,,,,,,14781942,19971,272601,-26510,1008,298,-32842,-2342,-1442,17859,-30036,-204,-457,-32572,-1850,-7152,3968087,36188,-5896,-927382,-10440,-29679,16048,435416,-3929930,-4365346,-1747481,-38499,-2617865,-244,-180991,,-22002,19635,767449,-304,9909,249033,-11494,-146181,137344,-2156,-914,10389,14070,-3327,-13506,113421,1568434,-8596,1793,18714,41741,-27388,46924,47786,-371708,-32,-1539,3463880,262093,108809,-1647986,5447,-118758,-156051,-339,37896,-12077,55634,-45035,-2918,-37448,-17761,-26918,-24048,3360433,-2639,83444,-21485,304059,-14824,-2427962,88879,-221502,-42976,67992,-1634,988,-50554,195,-51833,3968,-721476,125766,-721107,65142,-1736,-1014,2629,219,69451,-10706,2953,369,-999191,1256,9516,-257131,287660,-1992,74265,-27831,-9598,-431934,-769,-379456,-2529,-2427962,-721107,-880,-29555,297814,8,-49713,-175994,68840,828424,-6318,1323368,-20382,-1569,-55130,122,-932,-4545,-879,0,-3215,-15323,-20983,68846,9009,-66709
2013,357.9,351.2,424.1,451.2,477,417.2,445.8,456.3,420.7,480,376.6,447.3,"5,105.20",17.3,8.2,7.1,7.3,6.9,5,5.1,4.8,5.9,6.9,6.5,6.7,,,,,,,,,15043981,19581,268067,-27185,-2388,-101,-29151,-2486,-1395,18105,-31535,-190,-490,-35666,-1852,-6912,3735605,24760,-6094,-625153,-11833,-30347,5296,1778455,-3705364,-5483819,-2046249,-36670,-3437570,-276,-236387,,-12015,23351,491588,1648,10650,154366,-11329,776237,134721,-1527,-906,22477,-2987,-3131,-12899,102150,1563061,-8580,1860,-2551,10588,-26589,51268,40480,-373065,-34,22547,3321193,161176,181469,-1906315,5926,-95149,-199869,-50,35283,-27597,13145,-52866,-2936,-36657,-17238,-26976,-23818,3165585,-1988,137597,-13890,291552,-15833,-2752864,77738,-185339,-45857,67504,-1603,2773,-49086,109,20723,7198,-470470,65337,-470147,137837,-1781,-978,1279,210,72873,-10662,1609,323,-2081259,1337,51887,-335553,343508,-1985,67600,-24877,-9603,-471760,-1580,-18548,-2558,-2752864,-470147,-796,-27026,393572,-150,1346,-176638,34043,1509156,-5655,1320840,-20380,-1569,-57815,164,-858,-4786,-824,0,-3182,-40468,-23747,63794,15574,-59918
2014,394.2,383.9,459.2,490.7,494.1,481.9,509.7,476.8,458.8,500.5,398.3,496,"5,544.10",10.1,9.7,9.2,9.1,7.8,9.1,9.9,9.2,9.2,8.6,8.4,8.6,,,,,,,,,15306316,16566,261389,-16045,-6316,-101,-22750,-2797,-1393,18051,-30228,-190,-529,-40409,-1852,-6715,3428629,22372,-6302,-34392,-12849,-31416,11571,1608501,-3390883,-4999384,-2146312,-37324,-2853072,-276,-310694,,714,653255,10514,1116,10836,50102,-11329,803008,139401,813,-884,31611,-2984,-2932,-10309,94785,1446330,-8607,510,3883,-49351,-25571,54876,38565,-310157,-31,48532,3672517,75961,238835,-2037911,7105,-50381,-237890,-51,32841,-24234,-515267,-64956,-3039,-30033,-16990,-27076,-23690,3068657,-1668,179768,-20445,260843,-15027,-2708921,65520,85052,-37405,60308,-1603,485,-49130,119,6065,8072,-480289,-471614,-480026,197600,-1794,-967,1058,-225,75670,-10586,901,263,-1457678,1005,20842,-469522,534556,-1985,55367,-21933,-9609,-418542,-1586,151572,-2524,-2708921,-480026,-799,-26591,703144,-152,-21079,-92291,-65667,1505626,-4914,1250914,-20382,-1295,-62437,260,-748,-4875,-785,0,-3161,-56637,-30048,290874,16580,-59918
2015,407.4,432,556.5,503.8,519,536.3,573.7,527.3,538.4,583.8,508.7,598.1,"6,285.00",3.4,7.9,12.8,9.9,8.8,9.3,9.8,9.9,10.7,11.4,12.7,13.4,,,,,,,,,15567419,12041,254218,-13317,-13308,-101,-15127,-3224,-1393,17694,-29315,-190,-348,-48162,-1852,-6524,3939060,13061,-6512,-589781,-13408,-32698,14166,901570,-3920933,-4822503,-2459914,-37991,-2362589,-231,-475094,,13130,628310,-19490,1477,12049,34031,-11329,490844,150215,3932,-866,30414,-3018,-2747,-6449,80603,1454272,-8596,-2230,17051,-145917,-24359,57677,30329,-221059,-31,47165,3531505,134260,229653,-2172159,8648,2462,6954,8,30581,-25426,-877524,-64764,-3200,-10124,-16833,-22904,-23389,3241249,-1676,178133,-49612,384942,-14477,-3523806,60337,49080,-31006,40958,-1603,-356,-51282,317,-17178,7368,34287,-160109,34532,187142,-1800,-976,2637,7934,77987,-10464,1027,245,-827474,1663,-48918,-231779,367540,-1985,32595,-18984,-9612,-349643,-5529,-217777,-2495,-3523806,34532,-583,-25230,341261,-159,201562,-62377,-21937,1408399,-4156,1221849,-20380,-1295,-77421,302,-630,-4761,-756,0,-3137,-14819,-38355,644996,16283,-59918
2016,482,558,623,609.3,625.3,614.7,536.1,619.2,607.7,605.9,600.3,678.4,"7,160.00",18.3,23.9,19.1,19.6,19.8,18.9,14.7,15.1,14.8,13.6,14,13.9,"2,113,329","707,823","2,588,858","3,092","19,821","1,456,572","111,487","7,000,981",15827690,7395,246940,-10591,7014,-101,-14196,-3477,-1392,17109,-27234,-190,-374,-39266,-1852,-6311,3981138,0,-6685,370860,-13569,-33902,-982,-604923,-3881250,-3276327,-2461971,-38653,-814356,107,68119,,18978,23759,-75580,4113,13263,49591,-11329,49192,156993,7470,-852,77168,-3009,-2558,-5498,97737,1769865,-8596,-2346,14833,-54315,-23081,59528,26425,-98016,-31,50012,4167539,118472,186788,-2290411,10109,80725,79051,8,28474,-1967,-379760,-65824,-3218,-8128,-16734,-22774,-22404,3458467,-1687,138455,-64002,373316,-2605,-2552785,171429,97646,-24720,36498,-1603,4657,-47499,344,124017,5901,-1032245,-655870,-1031994,146469,-1786,-910,3682,7684,79667,-10295,969,251,-133823,1312,21546,-74506,362637,-1988,76693,-16029,-9616,-63654,-5475,-520948,-2206,-2552785,-1031994,-103,-23826,375842,-170,124444,123381,-54333,-97942,-3506,1449371,-35209,-1295,-283326,275,-526,-4432,-404,0,-2772,-31383,-39688,-866101,17285,-59918
2017,587.6,613.9,739.8,639.9,747.4,723.7,664.2,707.8,672.9,728.3,646.3,720.3,"8,192.20",21.9,15.5,16.7,13.6,14.9,15.4,16.5,16.2,15.6,16.1,15.3,14.4,"2,338,439","326,594","2,663,103","1,338","14,591","2,352,923","33,386","7,730,374",16087418,4019,239014,-7886,-4914,-58,-13726,-3694,-1398,16395,-25061,-190,-383,-48049,-1852,-6110,4299926,0,-6782,50447,-13654,-34766,18044,-941646,-4107622,-3165976,-1778968,-39282,-1387008,275,-219656,,29200,7709,-9899,8316,14518,70475,-11329,41956,164070,10802,-830,14804,-3001,-2381,-4795,78257,1739131,-8597,-2389,-6827,15016,-21841,60585,21584,-78062,-34,48815,3998196,5777,100092,-1574581,11059,104242,36111,8,26515,-1983,-577864,-62275,-3222,5244,-16628,-25452,-22717,3525765,-1046,46900,-58735,350105,-5169,-2181786,282947,189497,-20576,35449,-1603,1234,-50616,302,38067,4465,-544157,-672697,-543898,61551,-1775,-948,3542,7460,80765,-10127,-50,259,-293599,1425,16916,-217660,-288666,-1997,44063,-13082,-9616,-207999,-5412,-667613,-2106,-2181786,-543898,1446,-22368,-252010,-155,101235,92876,-50447,400375,-3090,1377630,-48561,-847,-817764,281,-471,-3847,-403,0,-2824,-33495,-39672,-10681,20268,-59918
2018,634.6,630.1,754.5,769.9,808.5,801.4,818.3,860.4,746,863.5,757.1,843.3,"9,287.80",8,5.3,4,8.1,8.1,8.6,10.6,12,11.9,12.6,13,13.4,"3,496,140","42,975","2,858,002",62,"7,929","2,344,022",22,"8,749,152",16346950,2893,230577,-5174,-19374,-58,-9195,-3936,-1396,15583,-23600,-190,-357,-56884,-1850,30080,4325471,0,-6768,-243350,-13171,-35007,31976,-1747717,-4083590,-2335873,-1638982,-39878,-696891,272,-561563,,33647,-29981,6660,6611,15615,75863,-11329,33554,177470,11426,-817,-12765,-2987,-2209,-3706,60604,1619076,-8596,-2386,-3816,-81384,-20739,60758,18388,-81130,-39,80419,4044566,-51177,29729,-1309609,11130,326831,-15371,8,24688,-8736,-594290,-17320,-3223,10177,-16470,-25137,-22554,3589262,-952,11662,-57865,336527,-10794,-2409118,253245,74198,-19973,35726,-1603,-2741,-54158,137,40844,3346,-622269,-297041,-621993,61693,-1758,-862,3752,7559,81492,-9956,640,276,513647,1403,46664,-453509,-314596,-1997,9304,-10135,-9614,-335008,-5352,50634,-2023,-2409118,-621993,35502,-21013,-261813,-57,-56813,60723,-33273,603333,-2963,1200796,-60066,-807,-1356759,221,-458,-3080,-403,0,-2739,-34137,-39699,27265,18019,-59918
2019,688.1,690.5,826.7,865.2,974.5,882,947.8,980.6,892.3,"1,000.00",819.9,940.8,"10,508.30",8.4,9,9.2,10.1,12.4,12,12.6,12.8,13.5,13.8,13.3,13.1,"4,091,349","15,806","2,899,396",22,"10,914","2,481,634",4,"9,499,125",16604026,2230,221179,-5414,-21860,-58,-3243,-4186,-1395,14695,-21581,-190,-338,-58095,-1852,-24678,4108433,0,-6550,-472979,-12480,-34635,33559,-1760407,-3891389,-2130982,-1487064,-40567,-643918,239,-593495,,29113,-34571,-29880,5152,16132,21615,-11329,28963,183953,10664,-806,-17639,-3018,-1034,-2228,60824,1550648,-8596,-2336,-15787,-103989,-19733,60266,25564,-70597,-107,103392,4085765,-106864,12322,-1177218,10623,136558,-24066,8,22977,-2974,-457552,-16013,-3139,43656,-16270,-24737,-22269,3675644,-861,15493,-25453,333509,-11823,-2281362,241172,-29450,-19973,40624,-1603,-2238,-55143,148,48055,489,-516267,2048,-515962,-63712,-1718,203,3378,7427,81585,-9796,540,305,500572,1358,-9469,-467301,-218512,-1997,3758,-7192,-9612,-388296,-5265,-19956,-1898,-2281362,-515962,-19248,-19609,-218341,-57,-64819,107203,-7812,204126,-2902,1158444,-69397,-758,-976460,253,-458,-4028,-403,0,-2469,-33469,-39769,22728,18019,-59918
2020,834.6,808,746.8,690.8,836.8,963.3,"1,078.70","1,050.20","1,051.30","1,133.00",983.4,"1,163.60","11,340.40",21.3,19.2,8.3,0.3,-3.2,-0.9,1.4,2.2,4,5.1,6.4,7.9,"1,476,868",8,"899,700",             -  ,"5,660","646,470",               -  ,"3,028,706",16858333,1514,211063,-2734,-297,-58,-4364,-1960,-1394,0,-17853,0,-150,-23142,-244,802,788994,0,-6199,60641,-11592,-33872,9042,-292787,-689611,-396824,-694545,-24999,297721,235,-34772,,15320,-156669,71539,2573,16569,28021,0,18092,87584,0,-431,11745,-1494,-478,-1775,57483,871032,-4301,-1182,-4403,-4824,-10384,58816,10756,306664,-68,38220,2540918,-164408,-210580,-588736,5473,79456,-41937,7,10695,-779,57214,-7408,-1589,40535,-8230,-12369,-11924,2267432,-378,-163999,-12724,340711,-1579,-302152,-1025295,86,-10090,21324,-808,1292,-25214,-138,-11383,243,-148862,-74415,-148716,-220115,0,-313,1746,7681,81066,-4897,475,146,270006,682,9016,-113166,80824,-995,35526,-3564,-4502,-150854,-3506,-55547,-948,-302152,-148716,2370,-9189,-80952,-15,-15795,43465,-2173,676452,-1486,675560,-39203,-379,-525142,272,0,-2016,-197,0,-1060,-15050,-86100,30852,9015,-29955
